"Name","Description"
"000 Series Protocol Droid","Medium Droid, unaligned. Fantasy token portrait: 000 Series Protocol Droid"
"1.4 FD P-Tower Turret","Large Construct, unaligned. Laser Canon (Recharge 4-6)"
"3P0 Series","Medium Droid, unaligned. Fantasy token portrait: 3P0 Series"
"74-Z Speeder Bike","Large Construct, unaligned. Fantasy token portrait: 74-Z Speeder Bike"
"AAT","Huge Construct, unaligned. Fantasy token portrait: AAT"
"AT-AT","Gargantuan Construct, unaligned. Fantasy token portrait: AT-AT"
"AT-RT","Large Construct, unaligned. Fantasy token portrait: AT-RT"
"AT-ST","Huge Construct, unaligned. Fantasy token portrait: AT-ST"
"AT-TE","Gargantuan Construct, unaligned. Fantasy token portrait: AT-TE"
"Acklay, Adolescent","Huge Beast, unaligned. Fantasy token portrait: Acklay, Adolescent"
"Acklay, Adult","Huge Beast, unaligned. Fantasy token portrait: Acklay, Adult"
"Aiwha","Huge Beast, unaligned. Fantasy token portrait: Aiwha"
"Anooba","Medium Beast, unaligned. Fantasy token portrait: Anooba"
"Aryx","Large Beast, unaligned. Fantasy token portrait: Aryx"
"Auto-Turret","Medium Construct, unaligned. Fantasy token portrait: Auto-Turret"
"Ax-108 Sentry Gun","Medium Construct, unaligned. Repeating Blaster Burst"
"B'omarr Brain Walker","Medium Construct, any dark. Fantasy token portrait: B'omarr Brain Walker"
"B'omarr Monk Initiate","Medium Humanoid, any neutral alignment. Hold-Out Blaster"
"B1 Series, B1-A","Medium Droid, unaligned. Fantasy token portrait: B1 Series, B1-A"
"B1 Series, B1-X","Medium Droid, unaligned. Fantasy token portrait: B1 Series, B1-X"
"B1 Series, Squad","Huge Swarm of Medium droids, unaligned. Fantasy token portrait: B1 Series, Squad"
"B2 Series, B2-A","Medium Droid, unaligned. Fantasy token portrait: B2 Series, B2-A"
"B2 Series, B2-HA","Medium Droid, unaligned. Fantasy token portrait: B2 Series, B2-HA"
"BB Series Astromech Droid","Small Droid, unaligned. Fantasy token portrait: BB Series Astromech Droid"
"BX Series, BX-5C","Medium Droid, unaligned. Fantasy token portrait: BX Series, BX-5C"
"BX Series, BX-A","Medium Droid, unaligned. Fantasy token portrait: BX Series, BX-A"
"Bantha, Adolescent","Huge Beast, unaligned. Fantasy token portrait: Bantha, Adolescent"
"Bantha, Adult","Huge Beast, unaligned. Fantasy token portrait: Bantha, Adult"
"Battle Hydra","Huge Aberration, neutral dark. Fantasy token portrait: Battle Hydra"
"Beggar's Canyon Womp Rat","Medium Beast, unaligned. Fantasy token portrait: Beggar's Canyon Womp Rat"
"Blastromech Series, BT-1","Small Droid, unaligned. Fantasy token portrait: Blastromech Series, BT-1"
"Blurrg","Large Beast, unaligned. Fantasy token portrait: Blurrg"
"Boar-wolf","Large Beast, unaligned. Fantasy token portrait: Boar-wolf"
"Bogwing, Greater","Small Beast, unaligned. Fantasy token portrait: Bogwing, Greater"
"Bogwing, Lesser","Tiny Beast, unaligned. Fantasy token portrait: Bogwing, Lesser"
"Bor Gullet","Large Beast, unaligned. Fantasy token portrait: Bor Gullet"
"Brain Worm","Tiny Beast, lawful dark. Fantasy token portrait: Brain Worm"
"C1 Series Astromech Droid","Small Droid, unaligned. Fantasy token portrait: C1 Series Astromech Droid"
"Cantina Brawl","Huge Swarm of Medium humanoids, unaligned. Fantasy token portrait: Cantina Brawl"
"Carnivorous Plant","Small Plant, unaligned. Fantasy token portrait: Carnivorous Plant"
"Cliff Wampa","Large Beast, unaligned. Fantasy token portrait: Cliff Wampa"
"Clodhopper","Small Beast, unaligned. Fantasy token portrait: Clodhopper"
"Condor Dragon","Large Beast, unaligned. Fantasy token portrait: Condor Dragon"
"Cyborg Khagan","Medium Humanoid (Villainous, kaleesh. Fantasy token portrait: Cyborg Khagan"
"DF.9 Anti-Infantry Turret","Large Construct, unaligned. Fantasy token portrait: DF.9 Anti-Infantry Turret"
"DRK-1 Tracker Droid","Tiny Droid, unaligned. Fantasy token portrait: DRK-1 Tracker Droid"
"DSD1 Dwarf Spider Droid","Large Droid, unaligned. Fantasy token portrait: DSD1 Dwarf Spider Droid"
"DUM-Series PIT Droid","Small Droid, unaligned. Fantasy token portrait: DUM-Series PIT Droid"
"Dark Lord Spirit","Medium Undead, neutral dark. Fantasy token portrait: Dark Lord Spirit"
"Dark Side Spirit","Medium Undead, neutral dark. Fantasy token portrait: Dark Side Spirit"
"Death Trooper","Medium Humanoid, lawful dark. Fantasy token portrait: Death Trooper"
"Destroyer Droid","Large Droid, unaligned. Fantasy token portrait: Destroyer Droid"
"Dewback, Adolescent","Large Beast, unaligned. Fantasy token portrait: Dewback, Adolescent"
"Dewback, Adult","Large Beast, unaligned. Fantasy token portrait: Dewback, Adult"
"Dianoga, Adolescent","Large Beast, unaligned. Fantasy token portrait: Dianoga, Adolescent"
"Dianoga, Adult","Huge Beast, unaligned. Fantasy token portrait: Dianoga, Adult"
"Dragonsnake","Large Beast, unaligned. Fantasy token portrait: Dragonsnake"
"Emperor's Hand","Medium Human, unaligned. Fantasy token portrait: Emperor's Hand"
"Energy Spider","Small Beast, unaligned. Fantasy token portrait: Energy Spider"
"Eopie","Large Beast, unaligned. Fantasy token portrait: Eopie"
"Ewok Pony","Medium Beast, unaligned. Fantasy token portrait: Ewok Pony"
"Exogorth, Adolescent","Huge Beast, unaligned. Fantasy token portrait: Exogorth, Adolescent"
"Exogorth, Adult","Gargantuan Beast, unaligned. Fantasy token portrait: Exogorth, Adult"
"Fambaa","Huge Beast, unaligned. Fantasy token portrait: Fambaa"
"Fambaa Howdah","Huge Beast, unaligned. Fantasy token portrait: Fambaa Howdah"
"Fathier","Large Beast, unaligned. Fantasy token portrait: Fathier"
"Fexian Skullborer","Small Beast, unaligned. Fantasy token portrait: Fexian Skullborer"
"Flesh Raider","Medium Aberration, unaligned. Fantasy token portrait: Flesh Raider"
"Flesh Raider Apprentice","Medium Aberration, unaligned. Fantasy token portrait: Flesh Raider Apprentice"
"Flesh Raider Berserker","Medium Aberration, unaligned. Fantasy token portrait: Flesh Raider Berserker"
"Flutterplume","Medium Beast, unaligned. Fantasy token portrait: Flutterplume"
"Force Storm Eye","Gargantuan Elemental, unaligned. Fantasy token portrait: Force Storm Eye"
"Forest Nexu, Adult","Medium Beast, unaligned. Fantasy token portrait: Forest Nexu, Adult"
"Fyrnock","Medium Beast, unaligned. Fantasy token portrait: Fyrnock"
"GH-7 Medical Analysis Unit","Small Droid, unaligned. Fantasy token portrait: GH-7 Medical Analysis Unit"
"Gamorrean Guard","Medium Humanoid, chaotic dark. Fantasy token portrait: Gamorrean Guard"
"Geejaw","Tiny Beast, unaligned. Fantasy token portrait: Geejaw"
"Ghest","Huge Beast, unaligned. Fantasy token portrait: Ghest"
"Giant Worrt","Large Beast, unaligned. Fantasy token portrait: Giant Worrt"
"Gizka","Tiny Beast, unaligned. Fantasy token portrait: Gizka"
"Gizka Swarm","Medium Swarm of Tiny beasts, unaligned. Fantasy token portrait: Gizka Swarm"
"Gonk Droid","Small Droid, unaligned. Fantasy token portrait: Gonk Droid"
"Gorax","Huge Humanoid, unaligned. Fantasy token portrait: Gorax"
"Grand Admiral","Medium Humanoid, unaligned. Fantasy token portrait: Grand Admiral"
"Greysor","Small Beast, unaligned. Fantasy token portrait: Greysor"
"Gundark, Adolescent","Medium Beast, unaligned. Fantasy token portrait: Gundark, Adolescent"
"Gundark, Adult","Medium Beast, unaligned. Fantasy token portrait: Gundark, Adult"
